run,real,sys,user
1,1.88,0.00,1.88
2,1.89,0.00,1.88
3,1.88,0.00,1.88
4,1.88,0.00,1.88
5,1.88,0.00,1.88
6,1.88,0.00,1.88
7,1.88,0.00,1.88
8,1.88,0.00,1.88
9,1.88,0.00,1.88
10,1.88,0.00,1.88
11,1.88,0.00,1.88
12,1.88,0.00,1.88
13,1.88,0.00,1.88
14,1.88,0.00,1.88
15,1.88,0.00,1.88
16,1.88,0.00,1.88
17,1.88,0.00,1.88
18,1.88,0.00,1.88
19,1.88,0.00,1.88
20,1.88,0.00,1.88
21,1.88,0.00,1.88
22,1.88,0.00,1.88
23,1.89,0.00,1.88
24,1.88,0.00,1.88
25,1.88,0.00,1.88
26,1.88,0.00,1.88
27,1.88,0.00,1.88
28,1.89,0.00,1.88
29,1.88,0.00,1.88
30,1.88,0.00,1.88
31,1.88,0.00,1.88
32,1.88,0.00,1.88
33,1.88,0.00,1.88
34,1.88,0.00,1.88
35,1.88,0.00,1.88
36,1.88,0.00,1.88
37,1.88,0.00,1.88
38,1.88,0.00,1.88
39,1.88,0.00,1.88
40,1.88,0.00,1.88
41,1.88,0.00,1.88
42,1.88,0.00,1.88
43,1.88,0.00,1.88
44,1.88,0.00,1.88
45,1.88,0.00,1.88
46,1.88,0.00,1.88
47,1.88,0.00,1.88
48,1.88,0.00,1.88
49,1.88,0.00,1.88
50,1.88,0.00,1.88
